1388A,550,800
1389A,370,800
1385A,480,800
1382A,280,800
1374A,530,800
1375I,4367,3500
1370A,340,800
1371A,60,800
1368A,530,800
1368H2,4360,3500
1369A,270,800
1336E2,3687,3500
1336F,3834,3500
1338E,3637,3500
1367A,-55,800
1358A,120,800
1360A,380,800
1360B,340,800
1349F2,4301,3500
1349E,3765,3500
1292F,3686,3500
1305G,3778,3500
1311A,620,800
1329E,3660,3300
1335A,610,800
1285A,620,800
1322F,4201,3500
1326G,4362,3500
1276E,4134,3500
1286F,3547,3100
1292E,3686,3500
1286E,3468,3200
1284G,3509,3300
1280F,4124,3400
1281A,640,800
1283A,470,800
1242E,3412,3200
1237G,3762,3500
1239F,4069,3400
1208H,3748,3500
1229F,4197,3500
1209G2,3413,3200
1210G,3749,3500
1190F,3618,3400
1179E,3410,3200
1205F,3616,3400
1064A,670,800
1081H,4208,3500
1083D,4109,3500
1168E,3398,3100
1178H,4190,3500
1158F,3662,3500
1161F,4230,3500
1098F,4224,3500
1110H,4307,3500
1119H,3403,3200
1146A,640,800
1148H,4357,3500
1154A,680,800
1058A,540,800
1025G,3534,3200
1097A,700,800
1043G,4262,3500
1054H,4129,3500
1055G,3659,3500
1086F,3631,3500
1093A,700,800
1060G,4049,3400
1191A,630,800
1196A,700,800
1312A,700,800
1367B,450,800
1385B,80,800
1039E,4020,3400
1119G,3317,3100
1264F,3714,3500
1305H,3650,3500
1180A,680,800
1290E,3517,3300
1391A,90,800
1391B,560,800
1392I,3524,3300
1393A,640,800
1394E,4371,3500
1397A,300,800
1398A,460,800
1398B,620,800
1399A,180,800
1399B,420,800
1400A,320,800
1405A,500,800
1408A,540,800
1409A,-61,800
1411A,-153,800
1413A,120,800
1415A,-84,800
1417A,130,800
1421A,130,800
1422A,540,800
1426A,20,800
1427F,3438,3200
1427H,4403,3500
1428A,270,800
1428H,3834,3500
1430B,540,800
1433A,-175,800
1433B,480,800
1435A,550,800
1436A,400,800
1437A,700,800
1440A,130,800
1443A,670,800
1444E,4222,3500
1445A,290,800
1446E,3806,3500
1447A,560,800
1450A,440,800
1451A,560,800
1452A,160,800
1452C,660,800
1453A,-140,800
1454A,-23,800
1454B,690,800
1455A,80,800
1457A,220,800
